PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: Type of test::C,PROPERTY: Type of test::T,PROPERTY: Processing method::CAST,PROPERTY: Processing method::WROUGHT,PROPERTY: Processing method::ANNEAL,PROPERTY: Processing method::OTHER,PROPERTY: Processing method::POWDER,PROPERTY: Microstructure::BCC,PROPERTY: Microstructure::FCC,FORMULA::Al,FORMULA::Co,FORMULA::Fe,FORMULA::Ni,FORMULA::Si,FORMULA::Cr,FORMULA::Mn,FORMULA::Mo,FORMULA::Nb,FORMULA::Cu,FORMULA::Ti,FORMULA::V,FORMULA::Ta,FORMULA::Zr,FORMULA::Hf,FORMULA::W,FORMULA::Zn,FORMULA::Re,FORMULA::Mg
6.8,25,1625,156,1,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6.6,25,1260,151,1,0,1,0,0,0,0,1,0,0.75,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
6.4,25,1375,147,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
7.3,25,1200,167,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
8.8,25,1330,130,1,0,1,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
8.5,25,1014,127,1,0,1,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
7.9,25,993,122,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
9.2,25,1092,134,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
5.5,25,1020,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,600,810,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,800,685,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5.5,1000,158,104,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
6.4,25,918,105,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0
6.4,600,571,105,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0
6.4,800,240,105,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0
6.4,1000,72,105,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0.5,0,0,0,0,0
6.5,25,1105,100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
6.5,600,834,100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
6.5,800,187,100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
6.5,1000,58,100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
7.9,25,1176,115,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0,0,1,0.5,0,0,0,0
9.9,25,1112,115,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1317,123,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1373,130,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1512,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1015,107,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
9.9,25,1512,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
9.9,800,1007,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
9.9,1000,814,137,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0
