type,original_scores,original_scores_std,scores,scores_std,dcc_pearson,dcc_spearman,dcc_kendall,dcc_mi,dcc_js,dcc_wd,dcc_xi,dcc_dcor,perturbation_type,dataset,ptb_ratio,corr_max_pearson,corr_max_spearman,corr_max_kendall,corr_max_mi,corr_max_js,corr_max_wd,corr_max_xi,corr_max_dcor,corr_cnt_good_pearson,corr_cnt_good_spearman,corr_cnt_good_kendall,corr_cnt_good_mi,corr_cnt_good_js,corr_cnt_good_wd,corr_cnt_good_xi,corr_cnt_good_dcor,scores_ratio,scores_std_ratio
regression,0.799826368134353,0.028368473466132537,0.7992704177949259,0.028417439030356328,1.0,1.0,1.0,1.0,0.9743589743589743,1.0,0.00641025641025641,1.0,Deletion,Bandgap,0.08,0.6864372788448705,0.7088674103612537,0.5299879312470444,0.19095200194915668,0.5856827755961521,0.3022711711929772,4.4460306751636445,0.6829792614644402,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.0,0.45454545454545453,0.0,1.0909090909090908,0.36363636363636365,0.9993049112137626,1.0017260556611285
regression,0.799826368134353,0.028368473466132537,0.8139059467023448,0.021427828754040108,0.20512820512820512,0.41025641025641024,0.5,0.8205128205128205,0.38461538461538464,0.5897435897435898,0.0,0.38461538461538464,AdditionLinear,Bandgap,0.08,0.6078858522923721,0.649952826905324,0.47242595819862343,0.16354570731750542,0.5092951567784043,0.4401348057804707,1.10280444710891,0.6079244960543468,0.09090909090909091,0.18181818181818182,0.0,0.0,0.09090909090909091,0.0,0.8181818181818182,0.18181818181818182,1.0176032938259254,0.7553395067105582
regression,0.799826368134353,0.028368473466132537,0.6458314054913296,0.032407656137455554,0.14102564102564102,0.46153846153846156,0.6025641025641025,0.7564102564102564,0.3076923076923077,0.5,0.0,0.3717948717948718,AdditionRand,Bandgap,0.08,0.5116716564625525,0.6035510719213056,0.44490055909363296,0.17568791414709234,0.4994726045271282,0.39465234331558197,1.0205943580812011,0.5642094118728558,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,0.8074645088255508,1.142382799558995
regression,0.799826368134353,0.028368473466132537,0.8305153608403305,0.019466799999265726,0.2692307692307692,0.3717948717948718,0.5128205128205128,0.8076923076923077,0.34615384615384615,0.5384615384615384,0.10256410256410256,0.358974358974359,ReplacementLinear,Bandgap,0.08,0.5144426048648447,0.6108752007178982,0.44259352052415785,0.1531829184353589,0.5059951650978232,0.41345183793646734,2.30670477714237,0.5530125258344469,0.18181818181818182,0.2727272727272727,0.0,0.0,0.09090909090909091,0.0,1.0909090909090908,0.2727272727272727,1.0383695686071985,0.6862124612558375
regression,0.799826368134353,0.028368473466132537,0.6559832068819007,0.04129076486105154,0.1282051282051282,0.44871794871794873,0.6153846153846154,0.7692307692307693,0.24358974358974358,0.47435897435897434,0.1282051282051282,0.358974358974359,ReplacementRand,Bandgap,0.08,0.49261082171171605,0.5948261307276292,0.4370305775852956,0.1695737979352806,0.4921058725263278,0.38816643229674325,2.1901055822015856,0.5511052122326675,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1.0909090909090908,0.18181818181818182,0.8201570153432477,1.4555159237012232
regression,0.9724184466449153,0.02330461528137598,0.9707140457775324,0.02382364541737527,1.0,0.9743589743589743,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,Deletion,BMDS,0.08,0.9794569154152337,0.975210818635638,0.9143310641877801,0.7327207384804822,0.7186786466645848,0.6920113866842734,0.8517984423142217,0.9707446170326867,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.5454545454545454,0.18181818181818182,0.18181818181818182,0.9982472557228182,1.0222715599349146
regression,0.9724184466449153,0.02330461528137598,0.9163691057214537,0.03457925654510521,0.11538461538461539,0.2564102564102564,0.2948717948717949,0.4230769230769231,0.0641025641025641,0.24358974358974358,0.41025641025641024,0.20512820512820512,AdditionLinear,BMDS,0.08,0.9290692520587401,0.9650769753116708,0.892663234073966,0.628612196327111,0.66752292655022,0.7078127289200271,0.8108420604678089,0.9331973046556384,0.45454545454545453,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.45454545454545453,0.9423608826870308,1.4837943526465087
regression,0.9724184466449153,0.02330461528137598,0.8232025838901109,0.05497972794883874,0.23076923076923078,0.358974358974359,0.3974358974358974,0.38461538461538464,0.07692307692307693,0.3076923076923077,0.6025641025641025,0.24358974358974358,AdditionRand,BMDS,0.08,0.8565574668086965,0.9566651334588407,0.8754680860602096,0.6186998504871067,0.6504705613213112,0.7197706058415955,0.7827798740582824,0.8932636393643305,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.8465517974595853,2.3591776686730426
regression,0.9724184466449153,0.02330461528137598,0.9220135955270831,0.029928364800199364,0.10256410256410256,0.23076923076923078,0.3076923076923077,0.3717948717948718,0.0641025641025641,0.2948717948717949,0.4358974358974359,0.23076923076923078,ReplacementLinear,BMDS,0.08,0.9370724750720467,0.9695796677028785,0.8989873289897633,0.6333945607428236,0.6594075817449913,0.7241461097645978,0.8241327464191217,0.9419307380009491,0.5454545454545454,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5454545454545454,0.9481654720848401,1.2842247957689648
regression,0.9724184466449153,0.02330461528137598,0.7971593484795446,0.05402531231254214,0.15384615384615385,0.21794871794871795,0.3974358974358974,0.38461538461538464,0.0641025641025641,0.28205128205128205,0.5897435897435898,0.28205128205128205,ReplacementRand,BMDS,0.08,0.8296355656366842,0.9520602542283395,0.8673196821987612,0.6017054609019731,0.6518791093908296,0.7273030309393791,0.7595845000021977,0.873568819028425,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.09090909090909091,0.8197698750264786,2.318223736382243
