dataset,perturbation_type,perturbation_ratio,SHAP_feat,SHAP_feat_ratio,max_shap_feat,feat,DCC_pearson_matrix,Corr_pearson_matrix,DCC_spearman_matrix,Corr_spearman_matrix,DCC_kendall_matrix,Corr_kendall_matrix,DCC_mutual_info_matrix,Corr_mutual_info_matrix,DCC_js_corr_matrix,Corr_js_corr_matrix,DCC_wd_corr_matrix,Corr_wd_corr_matrix,DCC_xi_matrix,Corr_xi_matrix,DCC_dcor_matrix,Corr_dcor_matrix
Crystal_structure.csv,Deletion,0.08,0.018247045765938837,0.4105885237621341,τ,l(A-O)(Å),1.0,0.2551170361092785,1.0,0.23965815490912196,1.0,0.19682324506189366,1.0,0.07559880065707711,1.0,0.2715063981066982,1.0,0.43989488642381575,0.42857142857142855,0.021472858993185517,1.0,0.24212331372840692
Crystal_structure.csv,Deletion,0.08,0.016016967151717056,0.36040808919578743,τ,l(B-O)(Å),1.0,-0.08882504321745804,1.0,-0.08406245884293381,1.0,-0.06837250902031777,1.0,0.03497294425726518,1.0,0.2404152264092323,1.0,0.48930880908208885,0.7142857142857143,0.01295953237313896,1.0,0.12363279861721316
Crystal_structure.csv,Deletion,0.08,0.021696339647419825,0.48820330595677797,τ,ΔENR,1.0,-0.11992603228735271,1.0,-0.11030612677320087,1.0,-0.08718840846322903,1.0,0.048260996091469735,1.0,0.5880737532208418,1.0,0.43235378214950715,0.6428571428571429,-0.009976038948920296,1.0,0.1421473667061345
Crystal_structure.csv,Deletion,0.08,0.035161231759083936,0.791185511715504,τ,tG,1.0,0.3178994533913123,1.0,0.3336905713248044,1.0,0.26932197637306465,1.0,0.07443378800716179,1.0,0.3292514243916759,1.0,0.376302411724485,0.5714285714285714,0.07318904189525921,1.0,0.3261506605915329
Crystal_structure.csv,Deletion,0.08,0.04444119771966613,1.0,τ,τ,1.0,-0.10121524029267676,1.0,-0.24906288530505935,1.0,-0.19342339693996147,1.0,0.08012668517522667,1.0,0.6782483348109336,1.0,0.46590555516359505,0.5,0.08201358733312503,1.0,0.2793767919207304
Crystal_structure.csv,Deletion,0.08,0.0172622386103549,0.3884287439606069,τ,μ,1.0,-0.15712909923762267,1.0,-0.16493754547786593,1.0,-0.13534567178167278,1.0,0.037115937321907294,1.0,0.3366255505514884,1.0,0.4236037982538984,0.7142857142857143,0.021930915169822596,1.0,0.18851614289666993
Crystal_structure.csv,AdditionLinear,0.08,0.007734680848587886,0.18155836617366516,EN(B),v(A),0.8571428571428571,-0.06641220331383108,1.0,-0.008280954837406108,0.9285714285714286,-0.007682658771121773,0.9285714285714286,0.06809337729602787,1.0,0.33467914048116065,1.0,0.6174793907613567,0.5714285714285714,0.286666496562629,0.9285714285714286,0.13330530434436627
Crystal_structure.csv,AdditionLinear,0.08,0.011605531332568043,0.2724199418910763,EN(B),v(B),1.0,0.10754585944538007,1.0,0.026225944888884623,0.9285714285714286,0.02497026456040847,0.9285714285714286,0.07186387961806788,1.0,0.3907875230760229,1.0,0.3308093730364882,0.7142857142857143,0.30307106671510686,1.0,0.15500989117089423
Crystal_structure.csv,AdditionLinear,0.08,0.014720813419510061,0.34554584546065165,EN(B),r(AXII)(Å),0.6428571428571429,0.2073481447980096,0.9285714285714286,0.1963161344591956,0.9285714285714286,0.16013581160542878,0.7857142857142857,0.04568835860525495,1.0,0.3715151158870604,1.0,0.33186318952904237,0.6428571428571429,0.3766508838719169,0.8571428571428571,0.19748395708151484
Crystal_structure.csv,AdditionLinear,0.08,0.01590504945153526,0.3733437550767586,EN(B),r(AVI)(Å),0.6428571428571429,0.24240174271859044,0.9285714285714286,0.23541449444017484,0.9285714285714286,0.19557288555184169,0.7142857142857143,0.06516266201112429,1.0,0.2764745489353636,1.0,0.45212450882974364,0.6428571428571429,0.4274513497768545,0.7857142857142857,0.2376062868729408
Crystal_structure.csv,AdditionLinear,0.08,0.017134393978423916,0.40220050923839806,EN(B),r(BVI)(Å),0.6428571428571429,-0.13656695530645377,0.9285714285714286,-0.14452836951356063,0.9285714285714286,-0.11697341276376454,0.8571428571428571,0.027413056994694124,1.0,0.3242190992188621,0.8571428571428571,0.39725013137489495,0.8571428571428571,0.1295761299673609,0.7857142857142857,0.1800953932954577
Crystal_structure.csv,AdditionLinear,0.08,0.038323408283869424,0.8995762760522875,EN(B),EN(A),0.6428571428571429,0.08826970433685807,0.42857142857142855,-0.07728529591497633,0.7142857142857143,-0.07177784409666021,0.7142857142857143,0.0971115998105261,1.0,0.33687186447554174,0.8571428571428571,0.5093726266397822,0.9285714285714286,0.4196043861944768,0.7857142857142857,0.18798939718970184
Crystal_structure.csv,AdditionLinear,0.08,0.042601621790259274,1.0,EN(B),EN(B),0.8571428571428571,-0.05941112586903232,1.0,-0.06665976337558421,1.0,-0.05496459678886576,0.7857142857142857,0.04175907777761448,1.0,0.4211363055552103,1.0,0.4476037893840489,0.7142857142857143,0.04768240411097002,0.9285714285714286,0.16012027213922986
Crystal_structure.csv,AdditionLinear,0.08,0.020684240752347642,0.4855270734570257,EN(B),l(A-O)(Å),0.42857142857142855,0.3118975097560853,0.8571428571428571,0.26813570534557113,0.8571428571428571,0.22045507079730425,0.8571428571428571,0.07789487728287205,1.0,0.2644241451426943,0.7857142857142857,0.40964426528497994,0.7857142857142857,0.42500448724504825,0.6428571428571429,0.2746152804068162
Crystal_structure.csv,AdditionLinear,0.08,0.015233441843283794,0.35757891843373135,EN(B),l(B-O)(Å),0.9285714285714286,-0.05111159135543957,1.0,-0.06902239653208467,1.0,-0.0552276235129492,0.9285714285714286,0.0375622226311917,1.0,0.23000469790278397,1.0,0.460539996633888,0.7857142857142857,0.10058233723739662,0.9285714285714286,0.11306717277866879
Crystal_structure.csv,AdditionLinear,0.08,0.018347722361258187,0.4306813118897116,EN(B),ΔENR,0.7142857142857143,-0.09711551952039121,0.8571428571428571,-0.09163856307470905,0.8571428571428571,-0.0723542154457236,0.7857142857142857,0.03685335109488048,1.0,0.5755239935186871,1.0,0.4310088653573223,0.5714285714285714,0.28653519374393543,0.8571428571428571,0.12444826634483244
Crystal_structure.csv,AdditionLinear,0.08,0.03329803442932111,0.7816142444824624,EN(B),tG,0.6428571428571429,0.3306954731327063,0.8571428571428571,0.3434679627803935,1.0,0.27636539460602105,1.0,0.07306556859575854,1.0,0.32051485967804155,1.0,0.3657458585287754,0.6428571428571429,0.2299506050747665,0.8571428571428571,0.3295584566142243
Crystal_structure.csv,AdditionLinear,0.08,0.04225026046957779,0.9917523956620398,EN(B),τ,0.9285714285714286,-0.07565647125776895,0.9285714285714286,-0.22685661994644454,1.0,-0.17685572426668641,1.0,0.08056766074035948,1.0,0.6615357368688372,1.0,0.45779654721205953,0.7857142857142857,0.2538987749863345,0.9285714285714286,0.2612766634627848
Crystal_structure.csv,AdditionLinear,0.08,0.01761959276759307,0.41358971858723304,EN(B),μ,1.0,-0.15012306205003176,0.9285714285714286,-0.1567424714529315,0.9285714285714286,-0.12671805314882129,0.8571428571428571,0.034512296455514506,1.0,0.3233856332646299,0.8571428571428571,0.3921025959379105,0.7142857142857143,0.120915279148896,1.0,0.19364219753555487
Crystal_structure.csv,AdditionRand,0.08,0.01195567849108564,0.2812272457673782,τ,v(A),0.5,-0.08359870682695378,0.7857142857142857,-0.01900086345344922,0.9285714285714286,-0.017477754387778675,0.9285714285714286,0.06439187139243355,1.0,0.333390489941571,0.9285714285714286,0.6158422306574377,0.5714285714285714,0.23920815269540208,0.7857142857142857,0.14562365041166175
Crystal_structure.csv,AdditionRand,0.08,0.009088935790147383,0.213794338909794,τ,v(B),0.5714285714285714,0.045921215827933806,0.8571428571428571,-0.005390803345423356,0.8571428571428571,-0.0054662668055492246,0.9285714285714286,0.07168145421250152,1.0,0.3803358633976872,0.9285714285714286,0.364015258697941,0.8571428571428571,0.22346355865034995,0.8571428571428571,0.1281063680854201
Crystal_structure.csv,AdditionRand,0.08,0.014100982573283103,0.33169012487706234,τ,r(AXII)(Å),0.35714285714285715,0.22400775130666523,0.8571428571428571,0.205105192324953,0.8571428571428571,0.16696078568580877,0.7857142857142857,0.04442789689626111,1.0,0.36819860204379085,1.0,0.3203735625366997,0.5,0.3482933512629093,0.8571428571428571,0.20673675956699017
Crystal_structure.csv,AdditionRand,0.08,0.015971979203710032,0.37570061157652784,τ,r(AVI)(Å),0.5,0.29975311101447266,0.7857142857142857,0.25609153692916764,0.8571428571428571,0.21222549199591076,0.7857142857142857,0.07405258125043719,1.0,0.27432385364254414,1.0,0.45087231843324904,0.5,0.4422703098814228,0.7142857142857143,0.26074442522798574
Crystal_structure.csv,AdditionRand,0.08,0.01857924052397387,0.43702987203132587,τ,r(BVI)(Å),0.7142857142857143,-0.13169861600649105,1.0,-0.14711322300724794,0.9285714285714286,-0.11926406942688228,0.9285714285714286,0.03558366377741882,1.0,0.3285661817493191,0.9285714285714286,0.40015835444259484,0.5,0.07604030545234619,0.8571428571428571,0.1739443963571908
Crystal_structure.csv,AdditionRand,0.08,0.030807355976212127,0.7246655116248939,τ,EN(A),0.7142857142857143,0.08657735739709335,0.6428571428571429,-0.08742562316243259,0.7142857142857143,-0.07978453524397582,0.7857142857142857,0.10178699127730327,1.0,0.3374234443184272,0.9285714285714286,0.5096148445760911,0.5714285714285714,0.4768583142771762,0.7857142857142857,0.18402974454329102
Crystal_structure.csv,AdditionRand,0.08,0.04016143670230055,0.9446967178207617,τ,EN(B),1.0,-0.017596986459131374,1.0,-0.04374359492296548,1.0,-0.035281761715659714,1.0,0.04120549240863778,1.0,0.4243353250773266,1.0,0.4583104051152138,0.5714285714285714,0.03079554078471125,1.0,0.15166709136689205
Crystal_structure.csv,AdditionRand,0.08,0.017605996838949266,0.41413676385649156,τ,l(A-O)(Å),0.5,0.25517202900926056,0.7142857142857143,0.23685948330578216,0.8571428571428571,0.19466856326470944,0.9285714285714286,0.07315679386071801,1.0,0.25819815661173073,1.0,0.41415551441484166,0.7142857142857143,0.41574803431657437,0.5714285714285714,0.24569489696573088
Crystal_structure.csv,AdditionRand,0.08,0.014043816033448961,0.33034542590748117,τ,l(B-O)(Å),0.7142857142857143,-0.02953034925146723,0.9285714285714286,-0.0586492871015763,1.0,-0.04806439231643449,1.0,0.037616347789627275,1.0,0.23712005952160572,1.0,0.4712833017498641,0.7142857142857143,0.025119262161188316,0.9285714285714286,0.09748489772397756
Crystal_structure.csv,AdditionRand,0.08,0.02343491273837898,0.5512473398416647,τ,ΔENR,0.5,-0.16941585066688802,0.7142857142857143,-0.1441332342254961,0.8571428571428571,-0.11457207220740359,0.8571428571428571,0.04706605334035418,1.0,0.5705908210284846,1.0,0.43982220061421873,0.6428571428571429,0.2490341315281046,0.7857142857142857,0.16492169583367022
Crystal_structure.csv,AdditionRand,0.08,0.032907772160588676,0.7740725159147697,τ,tG,0.6428571428571429,0.340423998220716,0.9285714285714286,0.34843719893483277,1.0,0.28093663935194757,1.0,0.06987345801368398,1.0,0.3218159484977354,1.0,0.3654572349928872,0.5714285714285714,0.22317086820935927,0.9285714285714286,0.33300536268361475
Crystal_structure.csv,AdditionRand,0.08,0.042512518509586296,1.0,τ,τ,0.5714285714285714,-0.10939196246796506,0.9285714285714286,-0.24863035633575978,0.9285714285714286,-0.1941409315518035,1.0,0.07302153239771729,1.0,0.6521610471701472,1.0,0.46095333270949324,0.6428571428571429,0.2311468391134035,0.7142857142857143,0.2585573048626415
Crystal_structure.csv,AdditionRand,0.08,0.017447671167662097,0.41041255092256557,τ,μ,0.7142857142857143,-0.11436714828313548,1.0,-0.1371242723299473,0.9285714285714286,-0.11143003057558923,0.9285714285714286,0.0273762025641315,1.0,0.3295468156590116,1.0,0.40954417516506564,0.5,0.07228358532325674,0.9285714285714286,0.16339168389635353
Crystal_structure.csv,ReplacementLinear,0.08,0.008615056835117313,0.19147865895145802,τ,v(A),0.8571428571428571,-0.06969414032737718,0.8571428571428571,-0.0018950260589585867,0.8571428571428571,-0.002374485372928911,0.9285714285714286,0.07495044166740542,0.9285714285714286,0.3236962504379125,0.9285714285714286,0.6332671000403751,0.6428571428571429,0.3133672718719165,0.9285714285714286,0.13943702440404185
Crystal_structure.csv,ReplacementLinear,0.08,0.01050160537115361,0.23340917556216448,τ,v(B),0.9285714285714286,0.08854010208224544,0.6428571428571429,0.020725444675170734,0.7857142857142857,0.018967446032857285,0.9285714285714286,0.07347367046192789,0.9285714285714286,0.38891013096199833,1.0,0.3139871654950797,0.5714285714285714,0.32262373535090716,0.9285714285714286,0.14699778171671327
Crystal_structure.csv,ReplacementLinear,0.08,0.01320193244276351,0.29342677223018926,τ,r(AXII)(Å),0.6428571428571429,0.19724822363223574,0.8571428571428571,0.18360670343616942,0.8571428571428571,0.14912820194202503,0.7857142857142857,0.04086165019065375,1.0,0.359985850686727,1.0,0.33169672415540596,0.6428571428571429,0.3879862289093897,0.8571428571428571,0.18851598156538954
Crystal_structure.csv,ReplacementLinear,0.08,0.013410333595369998,0.29805870606286783,τ,r(AVI)(Å),0.5714285714285714,0.2580758551082882,0.7857142857142857,0.21991279407479017,0.9285714285714286,0.18087582015945106,0.8571428571428571,0.05623985558516072,1.0,0.2740225218031314,1.0,0.4427617229442673,0.5,0.41445676815235466,0.7857142857142857,0.22651279648961464
Crystal_structure.csv,ReplacementLinear,0.08,0.022602367254227797,0.5023612790720438,τ,r(BVI)(Å),0.5,-0.09529512997777767,0.5714285714285714,-0.12548903912171094,0.6428571428571429,-0.10190069420929293,0.9285714285714286,0.04190260902865767,0.9285714285714286,0.31527100632262295,0.9285714285714286,0.3966900272148151,0.7857142857142857,0.08823356040036467,0.7142857142857143,0.17771034297931637
Crystal_structure.csv,ReplacementLinear,0.08,0.03397184892444992,0.7550599141307491,τ,EN(A),0.6428571428571429,0.07325426457069188,0.42857142857142855,-0.08472838082993736,0.6428571428571429,-0.07746231736798663,0.7142857142857143,0.09457610219841454,0.9285714285714286,0.3251709253280734,0.7142857142857143,0.49719628964440743,0.6428571428571429,0.39211196402255477,0.7857142857142857,0.18257548973844598
Crystal_structure.csv,ReplacementLinear,0.08,0.03897500200839237,0.8662602302026172,τ,EN(B),0.9285714285714286,-0.013610348814518567,1.0,-0.03361808802315803,1.0,-0.026566245478270998,0.9285714285714286,0.04196188702453627,0.9285714285714286,0.41151810388531507,0.9285714285714286,0.44486757722870773,0.8571428571428571,0.09156397442145414,1.0,0.1541301075791666
Crystal_structure.csv,ReplacementLinear,0.08,0.018468230904366285,0.4104757698590128,τ,l(A-O)(Å),0.35714285714285715,0.2642806585857673,0.6428571428571429,0.23688083010749733,0.8571428571428571,0.19494502340373596,0.9285714285714286,0.07389304624942754,0.7142857142857143,0.2606782258305122,0.7857142857142857,0.4041296207033795,0.7857142857142857,0.43130845917020966,0.5,0.24899983062868428
Crystal_structure.csv,ReplacementLinear,0.08,0.014955075311902441,0.3323922082055705,τ,l(B-O)(Å),0.7142857142857143,-0.00697951119028553,0.7142857142857143,-0.03986408064617935,0.9285714285714286,-0.03249301953914643,0.9285714285714286,0.031725791029958435,0.9285714285714286,0.23236470395978356,1.0,0.47020102619094695,0.7857142857142857,0.1010045602867835,0.7857142857142857,0.10042418824912527
Crystal_structure.csv,ReplacementLinear,0.08,0.02252727389936049,0.5006922506301714,τ,ΔENR,0.6428571428571429,-0.11765785930989031,0.8571428571428571,-0.1005214485477497,0.8571428571428571,-0.07959380093322374,0.8571428571428571,0.05046784681000826,0.9285714285714286,0.5605236611930747,1.0,0.4259060020608193,0.6428571428571429,0.3216863808253456,0.7142857142857143,0.1381300600661673
Crystal_structure.csv,ReplacementLinear,0.08,0.03464534339148755,0.770029033873978,τ,tG,0.5714285714285714,0.3437181278888297,0.7142857142857143,0.35686684771463567,0.9285714285714286,0.2872135836717935,1.0,0.07364378591050928,0.9285714285714286,0.3037947574050831,1.0,0.35163206958917076,0.9285714285714286,0.2418464377849091,0.7857142857142857,0.3394386874439433
Crystal_structure.csv,ReplacementLinear,0.08,0.04499225596363366,1.0,τ,τ,0.21428571428571427,-0.16591149988497672,0.5714285714285714,-0.27435540368343986,0.7857142857142857,-0.2164428868668836,1.0,0.08842919734326692,0.5,0.6359558193493575,0.9285714285714286,0.46855170534222557,0.8571428571428571,0.2272494265336077,0.5,0.2697760695875533
Crystal_structure.csv,ReplacementLinear,0.08,0.01533684293263234,0.34087739332361555,τ,μ,0.7857142857142857,-0.13074131295101676,0.9285714285714286,-0.14804685422112074,0.9285714285714286,-0.12033469393819621,0.9285714285714286,0.03394470407126009,0.9285714285714286,0.31665684548019346,0.9285714285714286,0.3937028926032231,0.6428571428571429,0.08099327371086551,0.8571428571428571,0.18006814400103272
